11/09/2017,14:24:00,1.31651,1.31651,1.3164,1.31643,97
11/09/2017,14:25:00,1.31643,1.31643,1.31624,1.31625,82
11/09/2017,14:26:00,1.31624,1.31628,1.3162,1.31622,51
11/09/2017,14:27:00,1.31622,1.31622,1.31619,1.31621,22
11/09/2017,14:28:00,1.31622,1.3163,1.31614,1.3163,51
11/09/2017,14:29:00,1.3163,1.31642,1.31625,1.31639,131
11/09/2017,14:30:00,1.31639,1.31642,1.31625,1.31639,211
11/09/2017,14:31:00,1.31639,1.3165,1.31636,1.31641,105
11/09/2017,14:32:00,1.31641,1.31654,1.31639,1.31654,157
11/09/2017,14:33:00,1.31654,1.31673,1.31652,1.31673,179
11/09/2017,14:34:00,1.31673,1.31673,1.31654,1.31654,121
11/09/2017,14:35:00,1.31653,1.3166,1.31646,1.3166,78
11/09/2017,14:36:00,1.31659,1.31661,1.31652,1.31656,46
11/09/2017,14:37:00,1.31656,1.31662,1.31655,1.31658,39
11/09/2017,14:38:00,1.31658,1.31664,1.31658,1.31659,41
11/09/2017,14:39:00,1.31659,1.3166,1.31649,1.31651,84
11/09/2017,14:40:00,1.31651,1.31651,1.3164,1.31642,90
11/09/2017,14:41:00,1.31641,1.31641,1.3163,1.31632,52
11/09/2017,14:42:00,1.31633,1.31633,1.31626,1.31629,27
11/09/2017,14:43:00,1.3163,1.3163,1.3162,1.31621,76
11/09/2017,14:44:00,1.31621,1.31627,1.31611,1.31611,69
11/09/2017,14:45:00,1.31611,1.31624,1.31608,1.31621,85
11/09/2017,14:46:00,1.31622,1.31634,1.31621,1.31628,101
11/09/2017,14:47:00,1.31628,1.31635,1.31628,1.31631,70
11/09/2017,14:48:00,1.31632,1.31638,1.31628,1.31635,52
11/09/2017,14:49:00,1.31636,1.31644,1.31635,1.3164,52
11/09/2017,14:50:00,1.31641,1.31642,1.3164,1.31642,34
11/09/2017,14:51:00,1.31643,1.3166,1.31643,1.31658,67
11/09/2017,14:52:00,1.31659,1.31669,1.31659,1.31666,72
11/09/2017,14:53:00,1.31666,1.31683,1.31666,1.31681,84
11/09/2017,14:54:00,1.31681,1.31688,1.3168,1.31687,120
11/09/2017,14:55:00,1.31686,1.3169,1.31675,1.31675,86
11/09/2017,14:56:00,1.31674,1.31675,1.31667,1.31668,36
11/09/2017,14:57:00,1.31668,1.31668,1.31658,1.31658,40
11/09/2017,14:58:00,1.31658,1.31669,1.31658,1.31661,71
11/09/2017,14:59:00,1.31661,1.31667,1.3166,1.31666,59
11/09/2017,15:00:00,1.31666,1.31668,1.31662,1.31663,45
11/09/2017,15:01:00,1.31662,1.31666,1.31659,1.3166,88
11/09/2017,15:02:00,1.3166,1.31663,1.31659,1.31659,107
11/09/2017,15:03:00,1.31659,1.3166,1.31647,1.3165,55
11/09/2017,15:04:00,1.31651,1.31651,1.31647,1.31648,25
